# n targets, lower bound scp, 1st phase n centroids, 2nd phase n coverages, final n uavs deployed, total redundancy, runtime
150, 1.000000, 141, 24, 45, 359.000000, 0.028396
200, 1.000000, 194, 24, 44, 470.000000, 0.072561
250, 1.000000, 223, 20, 36, 591.000000, 0.068816
300, 1.000000, 254, 24, 46, 763.000000, 0.151371
350, 1.000000, 326, 76, 148, 810.000000, 0.135199
400, 1.000000, 369, 105, 221, 991.000000, 0.195393
450, 1.000000, 430, 115, 227, 1082.000000, 0.276997
500, 1.000000, 487, 137, 288, 1229.000000, 0.413686
550, 1.000000, 489, 125, 263, 1379.000000, 0.331272
600, 1.000000, 574, 159, 323, 1458.000000, 0.623728
650, 1.000000, 637, 230, 538, 1647.000000, 1.391667
700, 1.000000, 658, 281, 649, 1818.000000, 2.064551
750, 1.000000, 724, 305, 698, 1990.000000, 2.645552
800, 1.000000, 758, 443, 1555, 2081.000000, 18.786959
850, 1.000000, 837, 433, 1553, 2228.000000, 23.463637
900, 1.000000, 856, 446, 1433, 2400.000000, 17.129221
950, 1.000000, 915, 583, 1772, 2549.000000, 29.617571
1000, 1.000000, 968, 579, 1816, 2707.000000, 34.632896
