# n targts, min redund, phase 1 n centroids, phase 2 n coverages, final n uavs deployed, tot redundancy, runtime, time_spent_1st_phase, time_spent_lp_prblm, time_spent_cc_phase
450, 1.000000, 430, 115, 227, 1082.000000, 0.262702, 0.154254, 0.026131, 0.062438
450, 1.000000, 430, 115, 227, 1082.000000, 0.273712, 0.162875, 0.026886, 0.063693
450, 1.000000, 430, 115, 227, 1082.000000, 0.265515, 0.157306, 0.025654, 0.062593
450, 1.000000, 430, 115, 227, 1082.000000, 0.272723, 0.163152, 0.026300, 0.062522
450, 1.000000, 430, 115, 227, 1082.000000, 0.271775, 0.162004, 0.026115, 0.063371
450, 1.000000, 430, 115, 227, 1082.000000, 0.266353, 0.157093, 0.026028, 0.062521
450, 1.000000, 430, 115, 227, 1082.000000, 0.272412, 0.162036, 0.026546, 0.063268
450, 1.000000, 430, 115, 227, 1082.000000, 0.273702, 0.164703, 0.026717, 0.062472
450, 1.000000, 430, 115, 227, 1082.000000, 0.267496, 0.159276, 0.025492, 0.062723
450, 1.000000, 430, 115, 227, 1082.000000, 0.268556, 0.159905, 0.026007, 0.062707
450, 1.000000, 430, 115, 227, 1082.000000, 0.269689, 0.160942, 0.026526, 0.062228
450, 1.000000, 430, 115, 227, 1082.000000, 0.269899, 0.161212, 0.025984, 0.062790
450, 1.000000, 430, 115, 227, 1082.000000, 0.265079, 0.157510, 0.026193, 0.061455
450, 1.000000, 430, 115, 227, 1082.000000, 0.271797, 0.162171, 0.026315, 0.063174
450, 1.000000, 430, 115, 227, 1082.000000, 0.271785, 0.163368, 0.026069, 0.062420
450, 1.000000, 430, 115, 227, 1082.000000, 0.266821, 0.159690, 0.025665, 0.061513
450, 1.000000, 430, 115, 227, 1082.000000, 0.271006, 0.160817, 0.026594, 0.063667
450, 1.000000, 430, 115, 227, 1082.000000, 0.271290, 0.162443, 0.026471, 0.062394
450, 1.000000, 430, 115, 227, 1082.000000, 0.265232, 0.157571, 0.026461, 0.061416
450, 1.000000, 430, 115, 227, 1082.000000, 0.273470, 0.163229, 0.026588, 0.063039
