# n targts, lower bound scp, phase 1 n centroids, phase 2 n coverages, final n uavs deployed, tot redundancy, runtime
50, 1.000000, 36, 2, 5, 81.000000, 0.007651
50, 1.000000, 36, 2, 5, 81.000000, 0.003951
50, 1.000000, 36, 2, 5, 81.000000, 0.004208
50, 1.000000, 36, 2, 5, 81.000000, 0.003958
50, 1.000000, 36, 2, 5, 81.000000, 0.003939
50, 1.000000, 36, 2, 5, 81.000000, 0.004091
50, 1.000000, 36, 2, 5, 81.000000, 0.003882
50, 1.000000, 36, 2, 5, 81.000000, 0.004598
50, 1.000000, 36, 2, 5, 81.000000, 0.003831
50, 1.000000, 36, 2, 5, 81.000000, 0.004060
50, 1.000000, 36, 2, 5, 81.000000, 0.003990
50, 1.000000, 36, 2, 5, 81.000000, 0.003649
50, 1.000000, 36, 2, 5, 81.000000, 0.004174
50, 1.000000, 36, 2, 5, 81.000000, 0.003494
50, 1.000000, 36, 2, 5, 81.000000, 0.004436
50, 1.000000, 36, 2, 5, 81.000000, 0.004009
50, 1.000000, 36, 2, 5, 81.000000, 0.004434
50, 1.000000, 36, 2, 5, 81.000000, 0.005175
50, 1.000000, 36, 2, 5, 81.000000, 0.003803
50, 1.000000, 36, 2, 5, 81.000000, 0.004510
