# n targts, min redund, phase 1 n centroids, phase 2 n coverages, final n uavs deployed, tot redundancy, runtime, time_spent_1st_phase, time_spent_lp_prblm, time_spent_cc_phase
650, 1.000000, 381, 23, 45, 1719.000000, 0.649483, 0.202452, 0.425423, 0.001855
650, 1.000000, 381, 23, 45, 1719.000000, 0.636878, 0.193397, 0.421933, 0.001890
650, 1.000000, 381, 23, 45, 1719.000000, 0.646361, 0.197555, 0.427117, 0.001867
650, 1.000000, 381, 23, 45, 1719.000000, 0.642766, 0.195840, 0.425034, 0.001892
650, 1.000000, 381, 23, 45, 1719.000000, 0.648840, 0.200140, 0.426889, 0.001881
650, 1.000000, 381, 23, 45, 1719.000000, 0.645735, 0.199558, 0.424360, 0.002104
650, 1.000000, 381, 23, 45, 1719.000000, 0.638731, 0.193702, 0.423179, 0.002087
650, 1.000000, 381, 23, 45, 1719.000000, 0.647449, 0.197991, 0.426721, 0.001892
650, 1.000000, 381, 23, 45, 1719.000000, 0.643637, 0.197261, 0.424217, 0.002228
650, 1.000000, 381, 23, 45, 1719.000000, 0.646477, 0.196855, 0.427106, 0.001913
650, 1.000000, 381, 23, 45, 1719.000000, 0.644281, 0.197299, 0.425385, 0.001915
650, 1.000000, 381, 23, 45, 1719.000000, 0.644711, 0.196885, 0.426253, 0.001902
650, 1.000000, 381, 23, 45, 1719.000000, 0.645048, 0.196936, 0.426007, 0.002352
650, 1.000000, 381, 23, 45, 1719.000000, 0.641574, 0.193232, 0.426592, 0.001905
650, 1.000000, 381, 23, 45, 1719.000000, 0.641741, 0.195578, 0.424528, 0.001872
650, 1.000000, 381, 23, 45, 1719.000000, 0.649382, 0.196235, 0.429947, 0.003026
650, 1.000000, 381, 23, 45, 1719.000000, 0.641836, 0.195811, 0.424063, 0.001919
650, 1.000000, 381, 23, 45, 1719.000000, 0.646747, 0.196976, 0.426796, 0.003078
650, 1.000000, 381, 23, 45, 1719.000000, 0.649440, 0.196376, 0.428747, 0.002305
650, 1.000000, 381, 23, 45, 1719.000000, 0.641168, 0.196532, 0.422628, 0.001869
