# n targts, min redund, phase 1 n centroids, phase 2 n coverages, final n uavs deployed, tot redundancy, runtime, time_spent_1st_phase, time_spent_lp_prblm, time_spent_cc_phase
400, 1.000000, 382, 161, 386, 1063.000000, 0.458348, 0.100213, 0.019882, 0.319435
400, 1.000000, 382, 161, 386, 1063.000000, 0.454830, 0.097634, 0.019375, 0.318931
400, 1.000000, 382, 161, 386, 1063.000000, 0.449364, 0.093391, 0.019306, 0.316939
400, 1.000000, 382, 161, 386, 1063.000000, 0.452424, 0.095824, 0.020489, 0.317326
400, 1.000000, 382, 161, 386, 1063.000000, 0.455859, 0.100417, 0.019121, 0.317644
400, 1.000000, 382, 161, 386, 1063.000000, 0.453254, 0.095942, 0.019661, 0.318797
400, 1.000000, 382, 161, 386, 1063.000000, 0.453989, 0.098205, 0.019774, 0.317147
400, 1.000000, 382, 161, 386, 1063.000000, 0.455874, 0.097839, 0.019758, 0.318629
400, 1.000000, 382, 161, 386, 1063.000000, 0.455143, 0.098706, 0.019542, 0.317904
400, 1.000000, 382, 161, 386, 1063.000000, 0.457657, 0.098587, 0.020107, 0.319885
400, 1.000000, 382, 161, 386, 1063.000000, 0.457216, 0.099541, 0.019556, 0.318913
400, 1.000000, 382, 161, 386, 1063.000000, 0.455079, 0.098897, 0.019622, 0.317470
400, 1.000000, 382, 161, 386, 1063.000000, 0.457771, 0.099377, 0.019783, 0.319633
400, 1.000000, 382, 161, 386, 1063.000000, 0.452613, 0.096410, 0.019630, 0.317777
400, 1.000000, 382, 161, 386, 1063.000000, 0.456457, 0.099502, 0.019734, 0.318171
400, 1.000000, 382, 161, 386, 1063.000000, 0.457414, 0.099824, 0.020056, 0.318449
400, 1.000000, 382, 161, 386, 1063.000000, 0.457432, 0.099270, 0.019715, 0.319109
400, 1.000000, 382, 161, 386, 1063.000000, 0.460414, 0.102562, 0.020721, 0.318120
400, 1.000000, 382, 161, 386, 1063.000000, 0.455459, 0.099119, 0.019522, 0.317846
400, 1.000000, 382, 161, 386, 1063.000000, 0.458491, 0.099787, 0.020348, 0.319465
