# n targts, min redund, phase 1 n centroids, phase 2 n coverages, final n uavs deployed, tot redundancy, runtime, time_spent_1st_phase, time_spent_lp_prblm, time_spent_cc_phase
700, 1.000000, 549, 33, 188, 1863.000000, 0.857296, 0.582096, 0.190569, 0.039667
700, 1.000000, 549, 33, 188, 1863.000000, 0.807542, 0.546909, 0.179854, 0.048563
700, 1.000000, 549, 33, 188, 1863.000000, 0.816042, 0.574615, 0.168200, 0.041037
700, 1.000000, 549, 33, 188, 1863.000000, 0.757205, 0.507097, 0.169930, 0.042538
700, 1.000000, 549, 33, 188, 1863.000000, 0.837929, 0.525584, 0.226681, 0.044875
700, 1.000000, 549, 33, 188, 1863.000000, 0.920444, 0.578961, 0.255577, 0.047705
700, 1.000000, 549, 33, 188, 1863.000000, 0.772829, 0.523893, 0.176855, 0.039824
700, 1.000000, 549, 33, 188, 1863.000000, 0.767013, 0.510869, 0.184771, 0.039067
700, 1.000000, 549, 33, 188, 1863.000000, 0.759361, 0.506687, 0.179648, 0.040707
700, 1.000000, 549, 33, 188, 1863.000000, 0.759352, 0.502769, 0.179050, 0.041846
700, 1.000000, 549, 33, 188, 1863.000000, 0.777825, 0.520706, 0.181385, 0.041871
700, 1.000000, 549, 33, 188, 1863.000000, 0.808487, 0.529588, 0.203605, 0.042310
700, 1.000000, 549, 33, 188, 1863.000000, 0.773556, 0.506753, 0.194351, 0.042197
700, 1.000000, 549, 33, 188, 1863.000000, 0.748604, 0.500118, 0.178011, 0.039608
700, 1.000000, 549, 33, 188, 1863.000000, 0.747484, 0.507884, 0.168754, 0.040408
700, 1.000000, 549, 33, 188, 1863.000000, 0.754533, 0.497050, 0.185471, 0.040287
700, 1.000000, 549, 33, 188, 1863.000000, 0.741277, 0.504435, 0.165389, 0.039290
700, 1.000000, 549, 33, 188, 1863.000000, 0.750321, 0.499208, 0.177541, 0.041415
700, 1.000000, 549, 33, 188, 1863.000000, 0.749223, 0.509451, 0.169779, 0.038668
700, 1.000000, 549, 33, 188, 1863.000000, 0.758300, 0.500457, 0.185586, 0.039975
