# tot runtime, time_spent_1st_phase, time_spent_lp_prblm, time_spent_cc_phase
0.003841,0.001471,0.001234,0.000245
0.011745,0.005462,0.002627,0.001376
0.02973,0.018848,0.005706,0.001394
0.062877,0.044585,0.011762,0.00144
0.070206,0.048101,0.013317,0.001621
0.159579,0.072262,0.074979,0.002513
0.137073,0.080638,0.019764,0.022364
0.206206,0.101004,0.022849,0.061095
0.288132,0.167144,0.029345,0.067574
0.421309,0.222655,0.038478,0.132197
0.347681,0.149802,0.063422,0.104786
0.592474,0.310395,0.048057,0.193454
1.481171,0.397776,0.055744,0.979027
2.119026,0.294983,0.061915,1.703034
2.682094,0.455227,0.069105,2.091323
