# tot runtime, time_spent_1st_phase, time_spent_lp_prblm, time_spent_cc_phase
0.016121,0.001055,0.0009,0.013205
0.032759,0.003485,0.001773,0.025238
0.054378,0.017447,0.003433,0.029559
0.071736,0.024662,0.005844,0.033959
0.103721,0.047188,0.00897,0.039386
0.134905,0.070036,0.013417,0.039958
0.14664,0.075793,0.015801,0.041796
0.223289,0.123966,0.020762,0.061114
0.283105,0.169008,0.026207,0.067321
0.32687,0.186164,0.032154,0.081519
0.385036,0.242523,0.037615,0.077604
0.407899,0.240918,0.052556,0.082714
0.459424,0.276852,0.052184,0.09401
0.672912,0.420738,0.090072,0.118787
0.837908,0.414657,0.248214,0.129498
0.934862,0.571048,0.141825,0.163731
1.235506,0.895724,0.160369,0.117353
0.88562,0.567816,0.109239,0.146722
1.140511,0.756139,0.136382,0.177028
0.995642,0.637226,0.115522,0.168998
