# tot runtime, time_spent_1st_phase, time_spent_lp_prblm, time_spent_cc_phase
0.010057,0.005134,0.002113,0.000897
0.028342,0.018408,0.004442,0.001878
0.070022,0.048207,0.013076,0.001873
0.066394,0.044457,0.012735,0.001563
0.14239,0.064723,0.067474,0.002391
0.129564,0.07739,0.0179,0.021093
0.182297,0.091867,0.020831,0.05393
0.27347,0.163229,0.026588,0.063039
0.399787,0.211551,0.0349,0.127626
0.313605,0.135273,0.056101,0.096016
0.547038,0.288207,0.043117,0.181816
1.382968,0.378577,0.05137,0.906734
1.97545,0.284782,0.055239,1.583761
2.531719,0.432082,0.063409,1.97597
17.782311,0.358672,0.065842,17.272765
19.108046,0.64086,0.076774,18.304976
16.673503,0.505018,0.088034,15.985676
28.699894,0.471072,0.090738,28.022612
29.961976,0.615855,0.102183,29.116022
