# tot runtime, time_spent_1st_phase, time_spent_lp_prblm, time_spent_cc_phase
0.00898,0.002612,0.00134,0.003808
0.014524,0.006864,0.002076,0.003648
0.026219,0.013873,0.00373,0.005239
0.033631,0.018318,0.005894,0.004944
0.07328,0.051541,0.01068,0.004278
0.078217,0.050446,0.014382,0.004858
0.129892,0.082308,0.028783,0.007293
0.166956,0.114451,0.033215,0.005524
0.19369,0.147154,0.025529,0.004749
0.291701,0.204423,0.059991,0.006541
0.324654,0.185131,0.113805,0.005494
0.506844,0.254418,0.223292,0.005127
0.37371,0.266315,0.074136,0.005895
0.823864,0.443677,0.338184,0.006905
0.508621,0.390879,0.076041,0.005363
0.721819,0.552296,0.127344,0.004602
0.822367,0.653312,0.118875,0.005351
0.68095,0.531544,0.105314,0.003408
0.728791,0.483703,0.210591,0.002912
1.284715,0.597466,0.637567,0.004607
