# tot runtime, time_spent_1st_phase, time_spent_lp_prblm, time_spent_cc_phase
0.005374,0.00233,0.00171,0.000503
0.016682,0.011027,0.003123,0.001007
0.031541,0.022156,0.005099,0.001644
0.057412,0.027386,0.022416,0.002843
0.070965,0.044061,0.016269,0.004521
0.106156,0.074554,0.01679,0.005582
0.137666,0.093222,0.020443,0.012896
0.16189,0.098767,0.022838,0.025851
0.278932,0.189381,0.036045,0.03568
0.288031,0.160224,0.051919,0.055528
0.382584,0.264802,0.049504,0.04418
0.36643,0.232793,0.050001,0.057591
0.750978,0.549026,0.081766,0.086209
0.860965,0.596486,0.074099,0.151692
0.759698,0.473977,0.082893,0.160782
1.130397,0.723999,0.111031,0.243631
1.117901,0.687525,0.115051,0.258388
6.490383,0.844818,5.179871,0.404651
2.106929,0.966159,0.603209,0.467737
1.914261,0.776616,0.351623,0.684362
